CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
EST.1.0.0.0.UDGG;Estonia;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-EEK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.228;0.275;0.314;0.302;0.348;0.316;0.333;0.443;0.490;0.500;0.533;0.628;0.618;0.749;1.023;0.982;1.027;1.763;1.934;2.130;2.077;2.174;2.174;2.127;2.373;5.094;5.534;6.722;7.469;8.894                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
IRL.1.0.0.0.UDGG;Ireland;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-IEP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.1;42.1;42.7;41.4;43.2;39.5;41.0;42.0;43.4;43.9;44.4;43.7;47.2;79.6;104.7;144.2;189.7;210.0;215.4;203.4;201.7;200.6;201.3;205.8;203.4;217.7;236.1;225.8;226.1;232.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GRC.1.0.0.0.UDGG;Greece;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-GRD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.1;104.4;114.1;122.0;132.3;148.2;163.0;171.4;181.5;199.3;214.0;225.7;239.9;264.8;301.1;330.6;356.2;305.1;320.5;319.6;311.7;315.0;317.5;334.7;331.1;341.2;353.4;359.1;362.3;366.4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESP.1.0.0.0.UDGG;Spain;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-ESP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;283.5;320.0;333.6;346.4;362.2;374.6;378.9;384.1;382.8;389.9;393.5;392.1;384.7;440.6;569.5;649.2;743.0;927.8;1025.7;1084.8;1113.7;1145.1;1183.4;1208.9;1223.4;1345.8;1427.2;1487.7;1546.2;1608.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FRA.1.0.0.0.UDGG;France;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-FRF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;683.5;751.3;794.1;829.4;847.6;870.6;897.4;956.8;1050.4;1123.6;1189.9;1194.1;1252.9;1370.3;1608.0;1701.1;1808.0;1892.5;1977.7;2039.9;2101.3;2188.5;2254.3;2310.9;2374.9;2656.2;2821.9;2945.3;3081.8;3232.9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HRV.1.0.0.0.UDGG;Croatia;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-HRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.51;4.35;4.84;4.91;6.43;8.49;9.42;10.31;11.79;13.44;14.80;15.16;16.04;18.12;21.41;25.27;28.53;30.84;35.82;37.34;38.05;37.70;37.88;38.04;38.92;43.88;45.63;45.53;46.98;49.49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ITA.1.0.0.0.UDGG;Italy;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-ITL;4.0;4.3;4.6;5.0;5.5;6.1;7.8;8.6;10.0;11.3;13.1;16.1;20.1;25.8;32.4;41.9;52.3;62.5;79.1;94.8;114.1;142.4;181.6;232.4;286.7;347.6;404.3;463.1;524.5;591.6;667.8;755.0;849.9;959.7;1069.4;1179.6;1245.7;1275.7;1299.7;1331.3;1353.6;1420.0;1436.1;1471.3;1526.4;1591.6;1657.3;1677.6;1738.6;1839.2;1920.6;1973.4;2054.7;2136.2;2203.0;2239.4;2285.7;2329.9;2381.5;2410.0;2572.8;2678.1;2759.7;2840.8;2927.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CYP.1.0.0.0.UDGG;Cyprus;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-CYP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.77;4.01;4.53;5.04;5.43;5.91;6.54;7.19;8.20;8.97;9.40;9.48;9.46;8.66;10.14;10.95;13.06;15.62;18.71;19.01;19.16;19.51;18.81;21.26;20.96;24.85;24.27;23.77;23.49;22.71                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LVA.1.0.0.0.UDGG;Latvia;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-LVL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.56;0.62;0.57;0.54;0.76;0.83;1.03;1.09;1.35;1.62;1.62;1.72;1.92;4.55;6.98;8.64;8.91;9.30;9.18;9.83;9.11;10.25;10.52;10.78;11.21;12.71;14.69;16.14;17.76;18.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LTU.1.0.0.0.UDGG;Lithuania;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-LTL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.89;1.35;1.80;2.15;2.89;3.14;3.25;3.37;3.39;3.40;3.70;4.15;4.61;4.76;7.53;10.15;11.63;13.26;13.55;14.83;15.88;15.45;16.54;15.32;17.53;23.06;24.54;25.47;30.12;30.67                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
